State,Season,Crop,Temperature,Rainfall,Area,Yield
2,2,1,26.7608333333333,253.26,7262,9383
2,1,1,29.654456651318,986.56,109505,166766
2,2,1,26.56498461465,256.5,2617,2973
2,1,1,28.99745666851,932.65,98718,141562
2,2,1,25.984564846165,213.65,5046,10274
2,1,1,29.3941666666667,745.83,130500,185600
2,2,1,25.9783333333333,268,1000,3200
2,1,1,29.5125,1154.41,133000,295600
2,2,1,26.6205,266.7,3600,13300
2,1,1,28.7536666666667,911.78,132185,250846
2,2,1,26.3013333333333,179.86,1985,6943
2,1,1,28.7226666666667,956.74,129907,214347
2,2,1,26.2951666666667,154.362,2163,5996
2,1,1,29.1538333333333,930.19,106296,199624
2,2,1,26.4146666666667,156.35,3864,10085
2,1,1,29.4455,692.224,93995,115426
2,2,1,26.4505,182.795,594,1558
2,1,1,29.5423333333333,726.63,108694,228366
2,2,1,26.5233333333333,195.85,4382,10679
2,1,1,28.7231666666667,790.5,125205,291352
2,2,1,26.2636666666667,244,2370,3979
2,1,1,29.2271666666667,1153,94336,131127
2,2,1,26.2478333333333,183.5,3750,9529
2,1,1,29.1621666666667,1116.3,117452,281532
2,2,1,26.222,157.1,1000,1803
2,1,1,29.112,1190,124000,362000
2,2,1,26.3211666666667,134.7,3000,7000
2,1,1,29.0945,880.2,128964,307966
2,2,1,26.1485,189,1695,4043
2,1,1,29.6225,892.5,104550,229801
2,2,1,26.8253333333333,156.23,3683,9285
2,1,1,29.0765,958.56,126290,325213
2,2,1,26.7608333333333,165.32,7254,23452
2,1,1,29.0656368656,956.45,123491,265106
2,2,1,26.031665359846,145.26,1078,2639
2,1,1,29.4549851686451,875.46,119079,306509
2,2,1,26.124485641664,102.23,6690,14310
2,1,1,29.3941666666667,950.54,247200,630400
2,2,1,25.9783333333333,230.29,193600,678100
2,1,1,29.5125,916.1,262000,646400
2,2,1,26.6205,113.86,194300,849100
2,1,1,28.7536666666667,689.06,267083,685440
2,2,1,26.3013333333333,66.06,193377,780930
2,1,1,28.7226666666667,1190.62,272901,794415
2,2,1,26.2951666666667,62.23,198764,858462
2,1,1,29.1538333333333,860,222720,576622
2,2,1,26.4146666666667,102.91,191480,896509
2,1,1,29.4455,663.25,214554,659110
2,2,1,26.4505,85.35,117074,506579
2,1,1,29.5423333333333,869.56,232235,812590
2,2,1,26.5233333333333,123.56,177983,867133
2,1,1,28.7231666666667,821.3,244235,842122
2,2,1,26.2636666666667,111.7,175761,807446
2,1,1,29.2271666666667,1175,253521,475859
2,2,1,26.2478333333333,37.8,192497,887411
2,1,1,29.1621666666667,1010.7,245236,682001
2,2,1,26.222,82,188804,875107
2,1,1,29.112,1075.8,254000,825000
2,2,1,26.3211666666667,63.2,192000,814000
2,1,1,29.0945,975.2,255444,778593
2,2,1,26.1485,258.8,195014,821789
2,1,1,29.6225,968.56,212887,660163
2,2,1,26.8253333333333,125.65,115690,454893
2,1,1,29.0765,879.65,256147,558800
2,2,1,26.7608333333333,225.6,200369,931515
2,1,1,29.2656841633,1032.89,240266,764242
2,2,1,26.1368466865132,196.65,123519,544225
2,1,1,29.3661651615355,986.45,242832,482993
2,2,1,26.8461646841651,125.65,179674,806377
3,1,1,17.9278333333333,1326.65,11500,13800
3,1,1,19.0596666666667,1736.28,11550,14316
3,1,1,18.5958333333333,1629.196,11600,13733
3,1,1,18.321,1498.93,11925,16387
3,1,1,18.5233333333333,1686.45,11857,16250
3,1,1,18.2083333333333,1505.45,11860,16780
3,1,1,18.5786666666667,1569.656,11867,18508
3,1,1,18.1095,2100.3,11885,18630
3,1,1,18.7796666666667,1398,11905,18667
3,1,1,18.9201666666667,1150.5,6191,10606
3,1,1,18.9746666666667,1537.8,15622,27398
3,1,1,18.5616666666667,1231.7,16763,35010
3,1,1,19.3478333333333,1106,8519,15639.33
3,1,1,18.8591666666667,1550.3,9585,18265
3,1,1,19.564684513467,1436.56,10260,20873
3,1,1,19.4013738275775,1366.56,9605,19512
3,1,1,19.137313728739,1896.56,9681,19750
3,1,1,19.7378137312553,1586.65,9081,20169
3,1,1,17.9278333333333,1114.489,10310,12400
3,1,1,19.0596666666667,1713.54,10320,12900
3,1,1,18.5958333333333,1354.78,10000,13237
3,1,1,18.321,1373.03,10450,13400
3,1,1,18.5233333333333,1373.45,5400,3840
3,1,1,18.2083333333333,1334.12,1691,1522
3,1,1,18.5786666666667,1356.65,1700,1700
3,1,1,18.1095,3660.5,916,870
3,1,1,18.7796666666667,2777.56,1000,691
3,1,1,18.9201666666667,1563.23,1235,1273
3,1,1,18.9746666666667,1653.23,1200,839
3,1,1,18.5616666666667,1869.56,1200,839
3,1,1,19.3478333333333,2165.23,1200,838.66
3,1,1,18.8591666666667,2356.23,1585,1268
3,1,1,18.21372837987,2485.56,1610,1382
3,1,1,18.137381327328,1965.65,1682,1420
3,1,1,18.7251371832124,1878.14,1690,1486
3,1,1,18.7857388737878,2556.226,1690,1485
3,1,1,17.9278333333333,1142.87,8945,9200
3,1,1,19.0596666666667,1931,8045,8190
3,1,1,18.5958333333333,1964.47,9595,12665
3,1,1,18.321,1903.63,8200,9840
3,1,1,18.5233333333333,1850.656,12310,16790
3,1,1,18.2083333333333,1786.56,8500,10715
3,1,1,18.5786666666667,1487.26,8510,10725
3,1,1,18.1095,2358.9,8515,6651
3,1,1,18.7796666666667,3074.6,8538,3158
3,1,1,18.9201666666667,1470.6,8235,6313
3,1,1,18.9746666666667,1162.8,8200,6952
3,1,1,18.5616666666667,1434.9,8250,6933
3,1,1,19.3478333333333,1245.95,8260,6993.33
3,1,1,18.8591666666667,1236.45,8267,7178
3,1,1,19.7851273827083,1356.56,8398,7822
3,1,1,18.372282323877,1498.56,8768,8442
3,1,1,18.5738131938233,1438.97,8968,9087
3,1,1,18.783723817137,1536.58,8968,9436
3,1,1,17.9278333333333,1274.21,10200,15525
3,1,1,19.0596666666667,1911.605,7323,12600
3,1,1,18.5958333333333,1569.31,11600,19261
3,1,1,18.321,1619.35,12310,19500
3,1,1,18.5233333333333,1587.69,5400,5000
3,1,1,18.2083333333333,1617.44,12330,26605
3,1,1,18.5786666666667,1589.85,12100,28000
3,1,1,18.1095,4125.56,12526,17499
3,1,1,18.7796666666667,3328.7,12800,19535
3,1,1,18.9201666666667,3010.5,13137,19729
3,1,1,18.9746666666667,4222.9,13000,19799
3,1,1,18.5616666666667,3301.25,13142,19761
3,1,1,19.3478333333333,2364,14147,20775.33
3,1,1,18.8591666666667,3398.1,15137,24103
3,1,1,18.783723817137,2256,15378,26268
3,1,1,17.9278333333333,3568.26,16770,27098
3,1,1,19.0596666666667,2489.56,16770,27044
3,1,1,18.5958333333333,2587.48,16120,27463
3,1,1,17.9278333333333,1274.01,15070,19600
3,1,1,19.0596666666667,1746.56,13015,18221
3,1,1,18.5958333333333,1611.15,14000,20900
3,1,1,18.321,1458.43,13980,13630
3,1,1,18.5233333333333,1550.616,10900,14170
3,1,1,18.2083333333333,1450,14158,12883
3,1,1,18.5786666666667,1468,14257,19390
3,1,1,18.1095,2716.4,8227,9872
3,1,1,18.7796666666667,1755.6,8500,11759
3,1,1,18.9201666666667,2021.9,10500,17010
3,1,1,18.9746666666667,2176.9,10300,16833
3,1,1,18.5616666666667,1874,10412,17952
3,1,1,19.3478333333333,1736,11770,19541.33
3,1,1,18.8591666666667,2522,11654,20263
3,1,1,18.783723817137,1712.6,11839,22082
3,1,1,17.9278333333333,1869.47,12239,23512
3,1,1,19.0596666666667,2554.36,12150,21662
3,1,1,18.5958333333333,2148.47,11450,22080
3,1,1,17.9278333333333,1299,21064,19900
3,1,1,19.0596666666667,1835.65,21585,15045
3,1,1,18.5958333333333,1720.51,22000,10500
3,1,1,18.321,1687.56,18150,18150
3,1,1,18.5233333333333,1669.89,4350,3500
3,1,1,18.2083333333333,1689.97,14800,17465
3,1,1,18.5786666666667,1635.48,8460,10152
3,1,1,18.1095,823.65,9306,11167
3,1,1,18.7796666666667,798.48,9500,11600
3,1,1,18.9201666666667,872.54,9643,12075
3,1,1,18.9746666666667,983.45,7685,9459
3,1,1,18.5616666666667,735.656,7839,9647
3,1,1,19.3478333333333,698.92,10193,12544.66
3,1,1,18.8591666666667,489.95,8155,10655
3,1,1,18.783723817137,854.563,8285,1161
3,1,1,17.9278333333333,862.95,8290,14358
3,1,1,19.0596666666667,926.45,8373,14792
3,1,1,18.5958333333333,688.48,7673,15210
3,1,1,18.5786666666667,2265.65,8470,9825
3,1,1,18.1095,3351.56,9015,10277
3,1,1,18.7796666666667,2184.6,9300,11615
3,1,1,18.9201666666667,1517.56,10180,15139
3,1,1,18.9746666666667,3015.54,9005,13854
3,1,1,18.5616666666667,3813.56,9025,14347
3,1,1,19.3478333333333,2351.2,9076,15822.66
3,1,1,18.8591666666667,2849.8,9083,14684
3,1,1,18.783723817137,2364.6,9227,16002
3,1,1,17.9278333333333,3469.56,9975,16753
3,1,1,19.0596666666667,2698.65,12025,22686
3,1,1,18.5958333333333,2498.6,11325,23105
3,1,1,17.9278333333333,1661,868,1050
3,1,1,19.0596666666667,2047.8,890,1112
3,1,1,18.5958333333333,2310.46,900,1170
3,1,1,18.321,2018,902,1205
3,1,1,18.5233333333333,2154.65,902,1190
3,1,1,18.2083333333333,2020.85,907,1210
3,1,1,18.5786666666667,2113.56,911,1221
3,1,1,18.1095,1568.56,911,1230
3,1,1,18.7796666666667,2348.5,777,1057
3,1,1,18.9201666666667,1698.8,770,1082
3,1,1,18.9746666666667,1796.56,770,1082
3,1,1,18.5616666666667,1350.55,758,758
3,1,1,19.3478333333333,1190.56,760,785.33
3,1,1,18.8591666666667,1159.544,765,795
3,1,1,18.783723817137,1543.5,777,866
3,1,1,17.9278333333333,1235.3,835,930
3,1,1,19.0596666666667,1256.4,835,879
3,1,1,18.5958333333333,1259.46,835,1298
3,1,1,17.9278333333333,1356.56,5345,3700
3,1,1,19.0596666666667,1744,5345,1942
3,1,1,18.5958333333333,1564.56,5354,5400
3,1,1,18.321,1549.78,5343,3036
3,1,1,18.5233333333333,1614.56,8300,10458
3,1,1,18.2083333333333,1603.87,5580,2490
3,1,1,18.5786666666667,1468.52,5582,3830
3,1,1,18.1095,3276.45,5585,2383
3,1,1,18.7796666666667,3234.1,4612,2509
3,1,1,18.9201666666667,2298.56,5615,3961
3,1,1,18.9746666666667,2663.5,5500,3971
3,1,1,18.5616666666667,2796.56,5625,4062
3,1,1,19.3478333333333,2987.56,4995,2643.33
3,1,1,18.8591666666667,2867.56,5002,4073
3,1,1,18.9201666666667,2146.4,5082,4438
3,1,1,18.9746666666667,2169.45,5080,4487
3,1,1,18.5616666666667,2634.48,2280,1976
3,1,1,19.3478333333333,2235.79,2280,2908
3,1,1,17.9278333333333,1151,6200,5800
3,1,1,19.0596666666667,1704.56,6210,2890
3,1,1,18.5958333333333,1505.23,6250,5650
3,1,1,18.321,1486,5420,3850
3,1,1,18.5233333333333,1501.11,11450,16030
3,1,1,18.2083333333333,1555.86,5500,5400
3,1,1,18.5786666666667,1359.45,5500,5400
3,1,1,18.1095,1689.56,6139,7669
3,1,1,18.7796666666667,1893.45,6200,7667
3,1,1,18.9201666666667,1474.46,6375,8087
3,1,1,18.9746666666667,1658.56,6300,7514
3,1,1,18.5616666666667,1723.56,6500,7501
3,1,1,19.3478333333333,2146.45,6605,7718
3,1,1,18.8591666666667,3045.46,6625,7742
3,1,1,18.9201666666667,2245.45,6730,8436
3,1,1,18.9746666666667,2248.66,6590,8285
3,1,1,18.1095,1021,4555,5296
3,1,1,18.7796666666667,1169,4800,6708
3,1,1,18.9201666666667,1137,5164,5063
3,1,1,18.9746666666667,1607,5100,11079
3,1,1,18.5616666666667,1209.6,5839,7739
3,1,1,19.3478333333333,1345.4,4328,5433.33
3,1,1,18.8591666666667,1047.8,4169,5681
3,1,1,18.5958333333333,1456.56,4235,6190
3,1,1,17.9278333333333,1359.59,4425,5935
3,1,1,19.0596666666667,1325.45,5062,9280
3,1,1,18.5958333333333,1256.9,5062,9698
3,1,1,17.9278333333333,1487.88,915,880
3,1,1,19.0596666666667,1957.95,913,806
3,1,1,18.5958333333333,2109.5,850,700
3,1,1,18.321,1963.655,855,756
3,1,1,18.5233333333333,1965.56,855,1163
3,1,1,18.2083333333333,1860.56,855,1160
3,1,1,18.5786666666667,2165.23,859,723
3,1,1,18.1095,3028,908,727
3,1,1,18.7796666666667,2135.65,860,760
3,1,1,18.9201666666667,1935.45,854,774
3,1,1,18.9746666666667,2112.8,861,809
3,1,1,18.5616666666667,2939.7,880,939
3,1,1,19.3478333333333,3059,865,798.66
3,1,1,18.8591666666667,2259.56,866,799
3,1,1,18.5616666666667,2356.65,880,870
3,1,1,19.3478333333333,2359.14,867,890
3,1,1,18.8591666666667,2219.45,880,891
3,1,1,18.783723817137,2893.146,880,1256
3,1,1,17.9278333333333,1297.65,18750,16500
3,1,1,19.0596666666667,1635.466,19170,17714
3,1,1,18.5958333333333,1395,19291,21816
3,1,1,18.321,1400,19291,21816
3,1,1,18.5233333333333,1400,19291,21872
3,1,1,18.2083333333333,1420,19953,22135
