State,Season,Crop,Rainfall,Temperature,Area,Yield
Andhra Pradesh,Rabi       ,Rice,49.212,26.6205,20900,44500
Andhra Pradesh,Kharif     ,Rice,451.305,28.7536666666667,81640,225431
Andhra Pradesh,Rabi       ,Rice,34.053,26.3013333333333,12430,35695
Andhra Pradesh,Kharif     ,Rice,589.05,28.7226666666667,93188,307427
Andhra Pradesh,Rabi       ,Rice,36.775,26.2951666666667,13909,38083
Andhra Pradesh,Kharif     ,Rice,454,29.1538333333333,43617,121779
Andhra Pradesh,Rabi       ,Rice,54.86,26.4146666666667,38162,98534
Andhra Pradesh,Kharif     ,Rice,433.8,29.4455,47948,100499
Andhra Pradesh,Rabi       ,Rice,23.37,26.4505,10974,24856
Andhra Pradesh,Kharif     ,Rice,578.65,29.5423333333333,34618,100635
Andhra Pradesh,Rabi       ,Rice,45.26,26.5233333333333,4966,11377
Andhra Pradesh,Kharif     ,Rice,575.3,28.7231666666667,61465,210702
Andhra Pradesh,Rabi       ,Rice,68.2,26.2636666666667,12058,37549
Andhra Pradesh,Kharif     ,Rice,791.3,29.2271666666667,88555,292586
Andhra Pradesh,Rabi       ,Rice,46.9,26.2478333333333,20079,65980
Andhra Pradesh,Kharif     ,Rice,507.2,29.1621666666667,80692,270238
Andhra Pradesh,Rabi       ,Rice,93.6,26.222,12475,36764
Andhra Pradesh,Kharif     ,Rice,1042.3,29.112,90000,332000
Andhra Pradesh,Rabi       ,Rice,39.39,26.3211666666667,19000,51000
Andhra Pradesh,Kharif     ,Rice,533.9,29.0945,84066,279856
Andhra Pradesh,Rabi       ,Rice,134.5,26.1485,27383,97073
Andhra Pradesh,Kharif     ,Rice,652.36,29.6225,81908,256454
Andhra Pradesh,Rabi       ,Rice,125.45,26.8253333333333,44772,157911
Andhra Pradesh,Kharif     ,Rice,567.25,29.0765,104110,291475
Andhra Pradesh,Rabi       ,Rice,65.23,26.7608333333333,32967,105626
Andhra Pradesh,Kharif     ,Rice,574.26,28.9465648465313,91984,333882
Andhra Pradesh,Rabi       ,Rice,78.23,26.22689654686,14738,46042
Andhra Pradesh,Kharif     ,Rice,477,29.3941666666667,62000,124300
Andhra Pradesh,Rabi       ,Rice,332.1,25.9783333333333,74200,222100
Andhra Pradesh,Kharif     ,Rice,650.75,29.5125,72100,206700
Andhra Pradesh,Rabi       ,Rice,100,26.6205,73800,248900
Andhra Pradesh,Kharif     ,Rice,496.82,28.7536666666667,70189,190583
Andhra Pradesh,Rabi       ,Rice,40.91,26.3013333333333,54885,129541
Andhra Pradesh,Kharif     ,Rice,665.201,28.7226666666667,50601,156559
Andhra Pradesh,Rabi       ,Rice,64.32,26.2951666666667,96893,316840
Andhra Pradesh,Kharif     ,Rice,620.03,29.1538333333333,40841,134204
Andhra Pradesh,Rabi       ,Rice,94.337,26.4146666666667,106540,385888
Andhra Pradesh,Kharif     ,Rice,528.76,29.4455,19256,46927
Andhra Pradesh,Rabi       ,Rice,87.288,26.4505,46223,104325
Andhra Pradesh,Kharif     ,Rice,686.35,29.5423333333333,14621,41992
Andhra Pradesh,Rabi       ,Rice,95.36,26.5233333333333,31497,79278
Andhra Pradesh,Kharif     ,Rice,633.6,28.7231666666667,27435,95446
Andhra Pradesh,Rabi       ,Rice,124.2,26.2636666666667,66134,220491
Andhra Pradesh,Kharif     ,Rice,842.3,29.2271666666667,54390,144351
Andhra Pradesh,Rabi       ,Rice,86.5,26.2478333333333,95020,340932
Andhra Pradesh,Kharif     ,Rice,576.2,29.1621666666667,41191,124809
Andhra Pradesh,Rabi       ,Rice,292.8,26.222,79875,297215
Andhra Pradesh,Kharif     ,Rice,841.1,29.112,47000,173000
Andhra Pradesh,Rabi       ,Rice,58.7,26.3211666666667,80000,287000
Andhra Pradesh,Kharif     ,Rice,408.8,29.0945,47434,167774
Andhra Pradesh,Rabi       ,Rice,528.9,26.1485,83957,314503
Andhra Pradesh,Kharif     ,Rice,569.65,29.6225,32959,117730
Andhra Pradesh,Rabi       ,Rice,125.56,26.8253333333333,96240,371390
Andhra Pradesh,Kharif     ,Rice,690.17,29.3941666666667,185700,278500
Andhra Pradesh,Rabi       ,Rice,200,25.9783333333333,600,2100
Andhra Pradesh,Kharif     ,Rice,1060,29.5125,194400,370700
Andhra Pradesh,Rabi       ,Rice,242.89,26.6205,2000,7500
Andhra Pradesh,Kharif     ,Rice,772.86,28.7536666666667,189027,323525
Andhra Pradesh,Rabi       ,Rice,19.69,26.3013333333333,1703,5867
Andhra Pradesh,Kharif     ,Rice,788.86,28.7226666666667,207461,399155
Andhra Pradesh,Rabi       ,Rice,54.59,26.2951666666667,1100,2012
Andhra Pradesh,Kharif     ,Rice,813.6,29.1538333333333,178771,393654
Andhra Pradesh,Rabi       ,Rice,126.591,26.4146666666667,1584,3594
Andhra Pradesh,Kharif     ,Rice,584,29.4455,153148,267550
Andhra Pradesh,Rabi       ,Rice,160.52,26.4505,632,1602
Andhra Pradesh,Kharif     ,Rice,795.65,29.5423333333333,188219,421799
Andhra Pradesh,Rabi       ,Rice,152.36,26.5233333333333,2204,4496
Andhra Pradesh,Kharif     ,Rice,936.3,28.7231666666667,190795,448561
Andhra Pradesh,Rabi       ,Rice,106.5,26.2636666666667,2198,5743
Andhra Pradesh,Kharif     ,Rice,1021.3,29.2271666666667,153521,271425
Andhra Pradesh,Rabi       ,Rice,134.2,26.2478333333333,4237,10105
Andhra Pradesh,Kharif     ,Rice,1260,29.1621666666667,193994,491775
Andhra Pradesh,Rabi       ,Rice,98.6,26.222,3425,7223
Andhra Pradesh,Kharif     ,Rice,1196.8,29.112,201000,613000
Andhra Pradesh,Rabi       ,Rice,162.8,26.3211666666667,2000,6000
Andhra Pradesh,Kharif     ,Rice,851.1,29.0945,203172,408376
Andhra Pradesh,Rabi       ,Rice,196.2,26.1485,2667,6190
Andhra Pradesh,Kharif     ,Rice,956.36,29.6225,177058,371822
Andhra Pradesh,Rabi       ,Rice,156.65,26.8253333333333,2708,6407
Andhra Pradesh,Kharif     ,Rice,897.64,29.0765,205853,167482
Andhra Pradesh,Rabi       ,Rice,152.5,26.7608333333333,7098,16822
Andhra Pradesh,Kharif     ,Rice,1023.5,29.15654687465,208239,399240
Andhra Pradesh,Rabi       ,Rice,196.65,26.1526468461,2178,4593
Andhra Pradesh,Kharif     ,Rice,986.56,29.6598486465,205859,520823
Andhra Pradesh,Rabi       ,Rice,165.2,26.1849846548485,2884,7870
Andhra Pradesh,Kharif     ,Rice,825.89,29.3941666666667,95600,79700
Andhra Pradesh,Rabi       ,Rice,280.71,25.9783333333333,2700,8700
Andhra Pradesh,Kharif     ,Rice,1124.41,29.5125,114900,141300
Andhra Pradesh,Rabi       ,Rice,269.78,26.6205,3800,14100
Andhra Pradesh,Kharif     ,Rice,868.91,28.7536666666667,103372,134010
Andhra Pradesh,Rabi       ,Rice,164.544,26.3013333333333,3053,10836
Andhra Pradesh,Kharif     ,Rice,1109.4,28.7226666666667,115239,183345
Andhra Pradesh,Rabi       ,Rice,158.245,26.2951666666667,2969,6683
Andhra Pradesh,Kharif     ,Rice,910.73,29.1538333333333,86579,145020
Andhra Pradesh,Rabi       ,Rice,168.23,26.4146666666667,3744,7589
Andhra Pradesh,Kharif     ,Rice,701.98,29.4455,61964,61344
Andhra Pradesh,Rabi       ,Rice,140.56,26.4505,2028,3121
Andhra Pradesh,Kharif     ,Rice,856.65,29.5423333333333,84676,136836
Andhra Pradesh,Rabi       ,Rice,196.56,26.5233333333333,3961,7811
Andhra Pradesh,Kharif     ,Rice,857,28.7231666666667,95187,160771
Andhra Pradesh,Rabi       ,Rice,132.7,26.2636666666667,2621,3701
Andhra Pradesh,Kharif     ,Rice,1330.7,29.2271666666667,84808,125007
Andhra Pradesh,Rabi       ,Rice,159.7,26.2478333333333,3821,7073
Andhra Pradesh,Kharif     ,Rice,1117.8,29.1621666666667,93133,178070
Andhra Pradesh,Rabi       ,Rice,162,26.222,2614,5301
Andhra Pradesh,Kharif     ,Rice,1105.3,29.112,96000,195000
Andhra Pradesh,Rabi       ,Rice,215.636,26.3211666666667,3000,6000
Andhra Pradesh,Kharif     ,Rice,676.5,29.0945,99378,167253
Andhra Pradesh,Rabi       ,Rice,231.3,26.1485,2679,5090
Andhra Pradesh,Kharif     ,Rice,758.65,29.6225,65447,69112
Andhra Pradesh,Rabi       ,Rice,256.65,26.8253333333333,2974,4509
Andhra Pradesh,Kharif     ,Rice,896.56,29.0765,110289,192378
Andhra Pradesh,Rabi       ,Rice,253.26,26.7608333333333,7262,9383
Andhra Pradesh,Kharif     ,Rice,986.56,29.654456651318,109505,166766
Andhra Pradesh,Rabi       ,Rice,256.5,26.56498461465,2617,2973
Andhra Pradesh,Kharif     ,Rice,932.65,28.99745666851,98718,141562
Andhra Pradesh,Rabi       ,Rice,213.65,25.984564846165,5046,10274
Andhra Pradesh,Kharif     ,Rice,745.83,29.3941666666667,130500,185600
Andhra Pradesh,Rabi       ,Rice,268,25.9783333333333,1000,3200
Andhra Pradesh,Kharif     ,Rice,1154.41,29.5125,133000,295600
Andhra Pradesh,Rabi       ,Rice,266.7,26.6205,3600,13300
Andhra Pradesh,Kharif     ,Rice,911.78,28.7536666666667,132185,250846
Andhra Pradesh,Rabi       ,Rice,179.86,26.3013333333333,1985,6943
Andhra Pradesh,Kharif     ,Rice,956.74,28.7226666666667,129907,214347
Andhra Pradesh,Rabi       ,Rice,154.362,26.2951666666667,2163,5996
Andhra Pradesh,Kharif     ,Rice,930.19,29.1538333333333,106296,199624
Andhra Pradesh,Rabi       ,Rice,156.35,26.4146666666667,3864,10085
Andhra Pradesh,Kharif     ,Rice,692.224,29.4455,93995,115426
Andhra Pradesh,Rabi       ,Rice,182.795,26.4505,594,1558
Andhra Pradesh,Kharif     ,Rice,726.63,29.5423333333333,108694,228366
Andhra Pradesh,Rabi       ,Rice,195.85,26.5233333333333,4382,10679
Andhra Pradesh,Kharif     ,Rice,790.5,28.7231666666667,125205,291352
Andhra Pradesh,Rabi       ,Rice,244,26.2636666666667,2370,3979
Andhra Pradesh,Kharif     ,Rice,1153,29.2271666666667,94336,131127
Andhra Pradesh,Rabi       ,Rice,183.5,26.2478333333333,3750,9529
Andhra Pradesh,Kharif     ,Rice,1116.3,29.1621666666667,117452,281532
Andhra Pradesh,Rabi       ,Rice,157.1,26.222,1000,1803
Andhra Pradesh,Kharif     ,Rice,1190,29.112,124000,362000
Andhra Pradesh,Rabi       ,Rice,134.7,26.3211666666667,3000,7000
Andhra Pradesh,Kharif     ,Rice,880.2,29.0945,128964,307966
Andhra Pradesh,Rabi       ,Rice,189,26.1485,1695,4043
Andhra Pradesh,Kharif     ,Rice,892.5,29.6225,104550,229801
Andhra Pradesh,Rabi       ,Rice,156.23,26.8253333333333,3683,9285
Andhra Pradesh,Kharif     ,Rice,958.56,29.0765,126290,325213
Andhra Pradesh,Rabi       ,Rice,165.32,26.7608333333333,7254,23452
Andhra Pradesh,Kharif     ,Rice,956.45,29.0656368656,123491,265106
Andhra Pradesh,Rabi       ,Rice,145.26,26.031665359846,1078,2639
Andhra Pradesh,Kharif     ,Rice,875.46,29.4549851686451,119079,306509
Andhra Pradesh,Rabi       ,Rice,102.23,26.124485641664,6690,14310
Andhra Pradesh,Kharif     ,Rice,950.54,29.3941666666667,247200,630400
Andhra Pradesh,Rabi       ,Rice,230.29,25.9783333333333,193600,678100
Andhra Pradesh,Kharif     ,Rice,916.1,29.5125,262000,646400
Andhra Pradesh,Rabi       ,Rice,113.86,26.6205,194300,849100
Andhra Pradesh,Kharif     ,Rice,689.06,28.7536666666667,267083,685440
Andhra Pradesh,Rabi       ,Rice,66.06,26.3013333333333,193377,780930
Andhra Pradesh,Kharif     ,Rice,1190.62,28.7226666666667,272901,794415
Andhra Pradesh,Rabi       ,Rice,62.23,26.2951666666667,198764,858462
Andhra Pradesh,Kharif     ,Rice,860,29.1538333333333,222720,576622
Andhra Pradesh,Rabi       ,Rice,102.91,26.4146666666667,191480,896509
Andhra Pradesh,Kharif     ,Rice,663.25,29.4455,214554,659110
Andhra Pradesh,Rabi       ,Rice,85.35,26.4505,117074,506579
Andhra Pradesh,Kharif     ,Rice,869.56,29.5423333333333,232235,812590
Andhra Pradesh,Rabi       ,Rice,123.56,26.5233333333333,177983,867133
Andhra Pradesh,Kharif     ,Rice,821.3,28.7231666666667,244235,842122
Andhra Pradesh,Rabi       ,Rice,111.7,26.2636666666667,175761,807446
Andhra Pradesh,Kharif     ,Rice,1175,29.2271666666667,253521,475859
Andhra Pradesh,Rabi       ,Rice,37.8,26.2478333333333,192497,887411
Andhra Pradesh,Kharif     ,Rice,1010.7,29.1621666666667,245236,682001
Andhra Pradesh,Rabi       ,Rice,82,26.222,188804,875107
Andhra Pradesh,Kharif     ,Rice,1075.8,29.112,254000,825000
Andhra Pradesh,Rabi       ,Rice,63.2,26.3211666666667,192000,814000
Andhra Pradesh,Kharif     ,Rice,975.2,29.0945,255444,778593
Andhra Pradesh,Rabi       ,Rice,258.8,26.1485,195014,821789
Andhra Pradesh,Kharif     ,Rice,968.56,29.6225,212887,660163
Andhra Pradesh,Rabi       ,Rice,125.65,26.8253333333333,115690,454893
Andhra Pradesh,Kharif     ,Rice,879.65,29.0765,256147,558800
Andhra Pradesh,Rabi       ,Rice,225.6,26.7608333333333,200369,931515
Andhra Pradesh,Kharif     ,Rice,1032.89,29.2656841633,240266,764242
Andhra Pradesh,Rabi       ,Rice,196.65,26.1368466865132,123519,544225
Andhra Pradesh,Kharif     ,Rice,986.45,29.3661651615355,242832,482993
Andhra Pradesh,Rabi       ,Rice,125.65,26.8461646841651,179674,806377
Arunachal Pradesh,Kharif     ,Rice,1326.65,17.9278333333333,11500,13800
Arunachal Pradesh,Kharif     ,Rice,1736.28,19.0596666666667,11550,14316
Arunachal Pradesh,Kharif     ,Rice,1629.196,18.5958333333333,11600,13733
Arunachal Pradesh,Kharif     ,Rice,1498.93,18.321,11925,16387
Arunachal Pradesh,Kharif     ,Rice,1686.45,18.5233333333333,11857,16250
Arunachal Pradesh,Kharif     ,Rice,1505.45,18.2083333333333,11860,16780
Arunachal Pradesh,Kharif     ,Rice,1569.656,18.5786666666667,11867,18508
Arunachal Pradesh,Kharif     ,Rice,2100.3,18.1095,11885,18630
Arunachal Pradesh,Kharif     ,Rice,1398,18.7796666666667,11905,18667
Arunachal Pradesh,Kharif     ,Rice,1150.5,18.9201666666667,6191,10606
Arunachal Pradesh,Kharif     ,Rice,1537.8,18.9746666666667,15622,27398
Arunachal Pradesh,Kharif     ,Rice,1231.7,18.5616666666667,16763,35010
Arunachal Pradesh,Kharif     ,Rice,1106,19.3478333333333,8519,15639.33
Arunachal Pradesh,Kharif     ,Rice,1550.3,18.8591666666667,9585,18265
Arunachal Pradesh,Kharif     ,Rice,1436.56,19.564684513467,10260,20873
Arunachal Pradesh,Kharif     ,Rice,1366.56,19.4013738275775,9605,19512
Arunachal Pradesh,Kharif     ,Rice,1896.56,19.137313728739,9681,19750
Arunachal Pradesh,Kharif     ,Rice,1586.65,19.7378137312553,9081,20169
Arunachal Pradesh,Kharif     ,Rice,1114.489,17.9278333333333,10310,12400
Arunachal Pradesh,Kharif     ,Rice,1713.54,19.0596666666667,10320,12900
Arunachal Pradesh,Kharif     ,Rice,1354.78,18.5958333333333,10000,13237
Arunachal Pradesh,Kharif     ,Rice,1373.03,18.321,10450,13400
Arunachal Pradesh,Kharif     ,Rice,1373.45,18.5233333333333,5400,3840
Arunachal Pradesh,Kharif     ,Rice,1334.12,18.2083333333333,1691,1522
Arunachal Pradesh,Kharif     ,Rice,1356.65,18.5786666666667,1700,1700
Arunachal Pradesh,Kharif     ,Rice,3660.5,18.1095,916,870
Arunachal Pradesh,Kharif     ,Rice,2777.56,18.7796666666667,1000,691
Arunachal Pradesh,Kharif     ,Rice,1563.23,18.9201666666667,1235,1273
