State,District,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual Total,Kharif,Rabi
Arunachal Pradesh,Lohit,2005,48.9,48.2,333.3,249,123.6,249.8,634.3,401.7,201.6,144.2,22.8,17.9,2475.3,1755.2,720.1
Arunachal Pradesh,Lohit,2006,0,225.3,53.5,235.5,294.1,588.9,453,278,337.4,70.5,89,21.4,2646.6,2021.9,624.7
Arunachal Pradesh,Lohit,2007,8.7,120.3,22.1,421.5,152.3,371.3,845,292.9,441,74.4,29.5,8,2787,2176.9,610.1
Arunachal Pradesh,Lohit,2008,42.9,40.2,242.4,177.3,260,310.4,633.9,442.8,148.7,78.1,52.2,7.6,2436.5,1873.9,562.6
Arunachal Pradesh,Lohit,2009,82.4,136.6,32.7,269.7,88.6,267,419.6,533.8,302.2,124.8,80.2,17.7,2355.3,1736,619.3
Arunachal Pradesh,Lohit,2010,0,21,212.5,937.3,563.8,461.8,619.1,339.8,470.8,66.7,34.4,6.5,3733.7,2522,1211.7
Arunachal Pradesh,Lower Subansiri,2004,25,24.6,89.2,105.9,99,183.2,125.3,91.4,80.7,133,5.9,1.6,964.8,712.6,252.2
Arunachal Pradesh,Lower Subansiri,2005,60.5,88.2,83.2,71.3,120.4,46.1,199.6,144.6,63.7,65.9,19.8,0,963.3,640.3,323
Arunachal Pradesh,Lower Subansiri,2006,3.8,48.2,28.4,122.7,145.1,122.2,163.4,70.8,72.6,0.4,35.6,12,825.2,574.5,250.7
Arunachal Pradesh,Lower Subansiri,2007,11.2,69.1,13.9,98.8,155.8,128.2,153.3,106.1,162.2,35.4,25.4,3.1,962.5,741,221.5
Arunachal Pradesh,Lower Subansiri,2008,42,34.5,63.8,97.5,95.8,169.4,208.4,138.7,83.4,38.9,0,5.2,977.6,734.6,243
Arunachal Pradesh,Lower Subansiri,2009,5.6,25.4,114.2,61.4,124.2,80.6,146.9,173.2,53,51.2,1.2,3.6,840.5,629.1,211.4
Arunachal Pradesh,Lower Subansiri,2010,0,3.6,109.7,87.8,128.8,80.4,104,68.6,75,30.7,18.2,0,706.8,487.5,219.3
Arunachal Pradesh,Papumpara,2004,65.2,8.4,272.7,267.6,714.6,678,746.4,322.1,536.5,353.3,0,27.1,3991.9,3350.9,641
