State,District,Year,Season,Crop,Rainfall,Area,Yield
Andhra Pradesh,GUNTUR,2007,Rabi       ,Rice,69,24000,85000
Andhra Pradesh,GUNTUR,2008,Kharif     ,Rice,691.8,281491,959321
Andhra Pradesh,GUNTUR,2008,Rabi       ,Rice,272.4,51358,187662
Andhra Pradesh,GUNTUR,2009,Kharif     ,Rice,549.6,190526,683226
Andhra Pradesh,GUNTUR,2009,Rabi       ,Rice,94,112342,383423
Andhra Pradesh,GUNTUR,2010,Kharif     ,Rice,1243.6,271072,649760
Andhra Pradesh,GUNTUR,2010,Rabi       ,Rice,241.5,58393,201806
Andhra Pradesh,KRISHNA,1997,Kharif     ,Rice,824.61,257900,699400
Andhra Pradesh,KRISHNA,1997,Rabi       ,Rice,271.042,116300,393500
Andhra Pradesh,KRISHNA,1998,Kharif     ,Rice,831.25,280800,759900
Andhra Pradesh,KRISHNA,1998,Rabi       ,Rice,85.57,134500,491200
Andhra Pradesh,KRISHNA,1999,Kharif     ,Rice,592.9,278415,834490
Andhra Pradesh,KRISHNA,1999,Rabi       ,Rice,11.09,127888,457596
Andhra Pradesh,KRISHNA,2000,Kharif     ,Rice,1038.76,281343,868787
Andhra Pradesh,KRISHNA,2000,Rabi       ,Rice,60.47,112917,408308
Andhra Pradesh,KRISHNA,2001,Kharif     ,Rice,796.67,245114,714507
Andhra Pradesh,KRISHNA,2001,Rabi       ,Rice,95.4,98472,358635
Andhra Pradesh,KRISHNA,2002,Kharif     ,Rice,616.57,243910,761243
Andhra Pradesh,KRISHNA,2002,Rabi       ,Rice,91.57,2185,5688
Andhra Pradesh,KRISHNA,2004,Kharif     ,Rice,851.8,245306,804849
Andhra Pradesh,KRISHNA,2004,Rabi       ,Rice,35.1,10017,31584
Andhra Pradesh,KRISHNA,2005,Kharif     ,Rice,1123,254919,697203
Andhra Pradesh,KRISHNA,2005,Rabi       ,Rice,36.5,104332,409399
Andhra Pradesh,KRISHNA,2006,Kharif     ,Rice,1039.8,251433,521221
Andhra Pradesh,KRISHNA,2006,Rabi       ,Rice,227.5,94862,355638
Andhra Pradesh,KRISHNA,2007,Kharif     ,Rice,949.1,261000,944000
Andhra Pradesh,KRISHNA,2007,Rabi       ,Rice,30.8,94000,355000
Andhra Pradesh,KRISHNA,2008,Kharif     ,Rice,979,273878,959395
Andhra Pradesh,KRISHNA,2008,Rabi       ,Rice,324.9,120655,467900
Andhra Pradesh,KRISHNA,2009,Kharif     ,Rice,639.8,228196,784310
Andhra Pradesh,KRISHNA,2009,Rabi       ,Rice,112.65,108442,424984
Andhra Pradesh,KRISHNA,2010,Kharif     ,Rice,726.5,260350,722978
Andhra Pradesh,KRISHNA,2010,Rabi       ,Rice,325.6,94991,367710
Andhra Pradesh,KRISHNA,2011,Kharif     ,Rice,865.5,262826,980105
Andhra Pradesh,KRISHNA,2011,Rabi       ,Rice,356.5,9203,31437
Andhra Pradesh,KRISHNA,2012,Kharif     ,Rice,986.5,253166,908360
Andhra Pradesh,KRISHNA,2012,Rabi       ,Rice,452.12,11365,42244
Andhra Pradesh,KRISHNA,2013,Kharif     ,Rice,986.56,264371,773285
Andhra Pradesh,KRISHNA,2013,Rabi       ,Rice,356.85,98951,402236
Andhra Pradesh,KURNOOL,1997,Kharif     ,Rice,440.84,66300,176900
Andhra Pradesh,KURNOOL,1997,Rabi       ,Rice,183.27,9000,23900
Andhra Pradesh,KURNOOL,1998,Kharif     ,Rice,647.54,75100,221700
Andhra Pradesh,KURNOOL,1998,Rabi       ,Rice,49.212,20900,44500
Andhra Pradesh,KURNOOL,1999,Kharif     ,Rice,451.305,81640,225431
Andhra Pradesh,KURNOOL,1999,Rabi       ,Rice,34.053,12430,35695
Andhra Pradesh,KURNOOL,2000,Kharif     ,Rice,589.05,93188,307427
Andhra Pradesh,KURNOOL,2000,Rabi       ,Rice,36.775,13909,38083
Andhra Pradesh,KURNOOL,2001,Kharif     ,Rice,454,43617,121779
Andhra Pradesh,KURNOOL,2001,Rabi       ,Rice,54.86,38162,98534
Andhra Pradesh,KURNOOL,2002,Kharif     ,Rice,433.8,47948,100499
Andhra Pradesh,KURNOOL,2002,Rabi       ,Rice,23.37,10974,24856
Andhra Pradesh,KURNOOL,2003,Kharif     ,Rice,578.65,34618,100635
Andhra Pradesh,KURNOOL,2003,Rabi       ,Rice,45.26,4966,11377
Andhra Pradesh,KURNOOL,2004,Kharif     ,Rice,575.3,61465,210702
Andhra Pradesh,KURNOOL,2004,Rabi       ,Rice,68.2,12058,37549
Andhra Pradesh,KURNOOL,2005,Kharif     ,Rice,791.3,88555,292586
Andhra Pradesh,KURNOOL,2005,Rabi       ,Rice,46.9,20079,65980
Andhra Pradesh,KURNOOL,2006,Kharif     ,Rice,507.2,80692,270238
Andhra Pradesh,KURNOOL,2006,Rabi       ,Rice,93.6,12475,36764
Andhra Pradesh,KURNOOL,2007,Kharif     ,Rice,1042.3,90000,332000
Andhra Pradesh,KURNOOL,2007,Rabi       ,Rice,39.39,19000,51000
Andhra Pradesh,KURNOOL,2008,Kharif     ,Rice,533.9,84066,279856
Andhra Pradesh,KURNOOL,2008,Rabi       ,Rice,134.5,27383,97073
Andhra Pradesh,KURNOOL,2009,Kharif     ,Rice,652.36,81908,256454
Andhra Pradesh,KURNOOL,2009,Rabi       ,Rice,125.45,44772,157911
Andhra Pradesh,KURNOOL,2010,Kharif     ,Rice,567.25,104110,291475
Andhra Pradesh,KURNOOL,2010,Rabi       ,Rice,65.23,32967,105626
Andhra Pradesh,KURNOOL,2011,Kharif     ,Rice,574.26,91984,333882
Andhra Pradesh,KURNOOL,2011,Rabi       ,Rice,78.23,14738,46042
Andhra Pradesh,PRAKASAM,1997,Kharif     ,Rice,477,62000,124300
Andhra Pradesh,PRAKASAM,1997,Rabi       ,Rice,332.1,74200,222100
Andhra Pradesh,PRAKASAM,1998,Kharif     ,Rice,650.75,72100,206700
Andhra Pradesh,PRAKASAM,1998,Rabi       ,Rice,100,73800,248900
Andhra Pradesh,PRAKASAM,1999,Kharif     ,Rice,496.82,70189,190583
Andhra Pradesh,PRAKASAM,1999,Rabi       ,Rice,40.91,54885,129541
Andhra Pradesh,PRAKASAM,2000,Kharif     ,Rice,665.201,50601,156559
Andhra Pradesh,PRAKASAM,2000,Rabi       ,Rice,64.32,96893,316840
Andhra Pradesh,PRAKASAM,2001,Kharif     ,Rice,620.03,40841,134204
Andhra Pradesh,PRAKASAM,2001,Rabi       ,Rice,94.337,106540,385888
Andhra Pradesh,PRAKASAM,2002,Kharif     ,Rice,528.76,19256,46927
Andhra Pradesh,PRAKASAM,2002,Rabi       ,Rice,87.288,46223,104325
Andhra Pradesh,PRAKASAM,2003,Kharif     ,Rice,686.35,14621,41992
Andhra Pradesh,PRAKASAM,2003,Rabi       ,Rice,95.36,31497,79278
Andhra Pradesh,PRAKASAM,2004,Kharif     ,Rice,633.6,27435,95446
Andhra Pradesh,PRAKASAM,2004,Rabi       ,Rice,124.2,66134,220491
Andhra Pradesh,PRAKASAM,2005,Kharif     ,Rice,842.3,54390,144351
Andhra Pradesh,PRAKASAM,2005,Rabi       ,Rice,86.5,95020,340932
Andhra Pradesh,PRAKASAM,2006,Kharif     ,Rice,576.2,41191,124809
Andhra Pradesh,PRAKASAM,2006,Rabi       ,Rice,292.8,79875,297215
Andhra Pradesh,PRAKASAM,2007,Kharif     ,Rice,841.1,47000,173000
Andhra Pradesh,PRAKASAM,2007,Rabi       ,Rice,58.7,80000,287000
Andhra Pradesh,PRAKASAM,2008,Kharif     ,Rice,408.8,47434,167774
Andhra Pradesh,PRAKASAM,2008,Rabi       ,Rice,528.9,83957,314503
Andhra Pradesh,PRAKASAM,2009,Kharif     ,Rice,569.65,32959,117730
Andhra Pradesh,PRAKASAM,2009,Rabi       ,Rice,125.56,96240,371390
Andhra Pradesh,SRIKAKULAM,1997,Kharif     ,Rice,690.17,185700,278500
Andhra Pradesh,SRIKAKULAM,1997,Rabi       ,Rice,200,600,2100
